"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"yihM",1.6673,1.7833,1.9914,1.9959,1.6958,2.0102,1.7316,1.9343,1.5806,1.7813
"hycA",0.4056,0.3283,0.3374,0.3875,0.3772,0.3829,0.372,0.3487,0.4378,0.3683
"sufB",2.9936,3.1182,3.2251,2.4496,2.5544,2.8329,2.7836,2.9802,2.8469,2.7454
"hybC",3.8392,3.9317,3.4074,3.5004,3.43,3.8781,4.039,4.0736,3.9881,4.0365
"ygbA",1.8607,1.8396,1.8024,1.8539,1.8654,2.098,1.9033,1.8379,1.7425,1.8974
"yeaD",3.8645,3.2353,3.5343,3.6344,3.628,3.343,4.1955,3.7259,3.8555,4.14
"zraP",1.459,1.568,1.1521,1.5145,1.665,1.5395,1.3679,1.3323,1.3263,1.4533
"glpC",0.9882,1.3507,2.1584,1.3585,1.5039,1.6156,0.8523,1.3175,1.0137,0.9416
"uhpT",2.2162,2.3095,2.9688,2.2025,2.5368,2.7102,2.4947,2.892,2.3979,2.5281
"cysA",0.3394,0.3442,0.4093,0.3031,0.4108,0.358,0.3834,0.3859,0.3683,0.3497
"ynfG",1.2789,0.8476,0.8863,0.9271,1.2142,0.8875,1.5517,1.1617,1.4583,1.5668
"hycF",1.0012,0.9901,1.0062,1.0184,0.9783,1.0681,1.0684,1.0867,1.0971,0.9867
"rluC",2.6523,2.5176,2.9525,2.8164,2.7602,2.7505,2.7774,2.5686,2.6175,2.7058
"yiaT",0.4047,0.3322,0.3391,0.3013,0.3901,0.3528,0.4019,0.4088,0.3395,0.3357
"ydhY",0.6971,0.4814,1.2142,1.0694,1.1351,0.78,0.8506,0.7131,0.7607,0.735
"yjcO",3.9571,4.1715,4.3642,4.3642,3.9057,4.3756,3.664,4.2131,3.43,3.7573
"ygaY",0.9505,0.8134,0.8131,0.6874,0.7937,0.8004,0.9364,0.9829,1.2226,0.7556
"fliZ",0.6159,0.6506,0.6402,0.8532,0.7046,0.6394,0.7478,0.7215,0.6942,0.7655
"yjbD",3.6952,4.1701,3.9676,4.5629,4.0466,4.2333,3.4152,4.1162,3.4345,3.7012
"yajC",6.2793,6.4929,6.5154,6.1956,6.1572,6.563,6.2368,6.3774,6.2146,6.3465
"ydgJ",3.8504,3.9947,4.0083,3.9823,3.9097,3.9744,3.9547,3.9459,4.0062,4.0168
"hisF",5.5592,5.9305,6.5585,5.2412,5.2946,5.9037,5.7453,5.7559,5.7019,5.83
